Group,Repeat_Setting,Repeat,Transaction_Load,TPS,Latency_ms,Success_Rate,Elapsed_s,CPU_Time_s,Peak_Memory_MB,Bytes_Written_MB,Block_File_KB,Success_SLA_ms,Node_Count,Throughput_per_Node,Propagation_Time_s,Storage_Overhead_MB,Peer_Delay_ms,Fault_Scenario,Downtime_s,Consensus_Recovery_s,Fork_Rate,Cluster_Size,Minority_Partition_Size,Byzantine_Percentage,Fault_Tolerance_Score,Fault_Tolerance_Status,Attack_Cost,Double_Spend_Window_s,Committee_Size,Quorum,Header_Only_Validation,Contract_Complexity,Gas_Fee,CPU_Usage_Percent,RAM_Usage_Percent,Bandwidth_MBps,Energy_Consumption_Wh,Payload_KB
Performance,5,5,3000.0,512.6681846430632,5402.356899808103,71.0,5.85173819999909,5.65625,24.668967247009277,4.207551002502441,3746.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,5,5,3500.0,519.2920097335704,6214.598015012502,0.0,6.7399458000436425,6.421875,28.661023139953613,4.909455299377441,4371.0546875,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Scalability,5,1,,,,,0.7536666999803856,0.65625,0.7958278656005859,,118.318359375,,4.0,33.17116173588489,0.5762729999842122,0.5387687683105469,3.0,,,,,,,,,,,,,,,,,,,,,
Scalability,5,1,,,,,1.616064900008496,1.5,0.8018579483032227,,118.318359375,,8.0,7.734837876829257,1.44649510004092,1.0775375366210938,3.0,,,,,,,,,,,,,,,,,,,,,
Scalability,5,1,,,,,3.076833299943246,2.796875,0.7958412170410156,,118.318359375,,16.0,2.031309268563651,2.9102361999684945,2.1550750732421875,3.0,,,,,,,,,,,,,,,,,,,,,
Scalability,5,1,,,,,6.224051899975166,5.65625,0.8027496337890625,,118.318359375,,32.0,0.5020845022215301,6.045336499984842,4.310150146484375,3.0,,,,,,,,,,,,,,,,,,,,,
Scalability,5,2,,,,,0.8290450000204146,0.78125,0.7997674942016602,,118.318359375,,4.0,30.15517854806964,0.6294839999754913,0.5387687683105469,3.0,,,,,,,,,,,,,,,,,,,,,
Scalability,5,2,,,,,1.550757099990733,1.34375,0.803257942199707,,118.318359375,,8.0,8.060578926302963,1.3773932000040077,1.0775375366210938,3.0,,,,,,,,,,,,,,,,,,,,,
Scalability,5,2,,,,,3.248777600005269,2.875,0.7979593276977539,,118.318359375,,16.0,1.9238005088405754,3.0690847999649122,2.1550750732421875,3.0,,,,,,,,,,,,,,,,,,,,,
Scalability,5,2,,,,,6.414505199994892,5.75,0.7980051040649414,,118.318359375,,32.0,0.48717709356638894,6.24694450001698,4.310150146484375,3.0,,,,,,,,,,,,,,,,,,,,,
Scalability,5,3,,,,,0.8096813999582082,0.734375,0.8001842498779297,,118.318359375,,4.0,30.87634222706657,0.6433647000230849,0.5387687683105469,3.0,,,,,,,,,,,,,,,,,,,,,
Scalability,5,3,,,,,1.5356898999889381,1.375,0.7977132797241211,,118.318359375,,8.0,8.139664134074229,1.3437881999998353,1.0775375366210938,3.0,,,,,,,,,,,,,,,,,,,,,
Scalability,5,3,,,,,3.083016899996437,2.796875,0.8072004318237305,,118.318359375,,16.0,2.0272350761383184,2.9135620000306517,2.1550750732421875,3.0,,,,,,,,,,,,,,,,,,,,,
Scalability,5,3,,,,,6.2059447999927215,5.53125,0.801025390625,,118.318359375,,32.0,0.5035494353742342,6.035789999994449,4.310150146484375,3.0,,,,,,,,,,,,,,,,,,,,,
Scalability,5,4,,,,,0.7684429000364617,0.671875,0.8057270050048828,,118.318359375,,4.0,32.53332160244278,0.5933874999755062,0.5387687683105469,3.0,,,,,,,,,,,,,,,,,,,,,
Scalability,5,4,,,,,1.6526732000056654,1.421875,0.8017606735229492,,118.318359375,,8.0,7.563503782815108,1.4826817999710329,1.0775375366210938,3.0,,,,,,,,,,,,,,,,,,,,,
Scalability,5,4,,,,,3.4212613999843597,3.046875,0.8000602722167969,,118.318359375,,16.0,1.8268115964563747,3.186627099988982,2.1550750732421875,3.0,,,,,,,,,,,,,,,,,,,,,
Scalability,5,4,,,,,6.45851909997873,5.796875,0.8021631240844727,,118.318359375,,32.0,0.48385705014177194,6.240833599993493,4.310150146484375,3.0,,,,,,,,,,,,,,,,,,,,,
Scalability,5,5,,,,,0.7530944999889471,0.71875,0.7963418960571289,,118.318359375,,4.0,33.196365131290854,0.585172799997963,0.5387687683105469,3.0,,,,,,,,,,,,,,,,,,,,,
Scalability,5,5,,,,,1.4742383999982849,1.28125,0.7977705001831055,,118.318359375,,8.0,8.47895428582958,1.3098266000160947,1.0775375366210938,3.0,,,,,,,,,,,,,,,,,,,,,
Scalability,5,5,,,,,3.126689400000032,2.796875,2.589674949645996,,118.318359375,,16.0,1.9989193681981767,2.9543352999608032,2.1550750732421875,3.0,,,,,,,,,,,,,,,,,,,,,
Scalability,5,5,,,,,6.361796099983621,5.703125,0.7958488464355469,,118.318359375,,32.0,0.4912134797919797,6.186833300045691,4.310150146484375,3.0,,,,,,,,,,,,,,,,,,,,,
Resilience,5,1,,,,,,,,,,,,,,,,Network Partition,1.1567118000239134,0.6988079000147991,0.5,8.0,4.0,,,,,,,,,,,,,,,
Resilience,5,1,,,,,,,,,,,,,,,,Validator Down,0.2966269999742508,0.45640199998160824,0.0,8.0,2.0,,,,,,,,,,,,,,,
Resilience,5,2,,,,,,,,,,,,,,,,Network Partition,1.138723400013987,0.7013111999840476,0.5,8.0,4.0,,,,,,,,,,,,,,,
Resilience,5,2,,,,,,,,,,,,,,,,Validator Down,0.289952099963557,0.4769648999790661,0.0,8.0,2.0,,,,,,,,,,,,,,,
Resilience,5,3,,,,,,,,,,,,,,,,Network Partition,1.1371372999856248,0.6759297999669798,0.5,8.0,4.0,,,,,,,,,,,,,,,
Resilience,5,3,,,,,,,,,,,,,,,,Validator Down,0.30875040002865717,0.4761499000014737,0.0,8.0,2.0,,,,,,,,,,,,,,,
